BGRF_ID	Title	Author	Author1	Author2	Author3	Author4
00.1	Adèle de Montmorency ou la belle émigrée
00.10	Camille et Agathe ou l’amour vainqueur de la mort
72.7	? éd. par Georg Adam JUNKER et Recueil historique ou choix de pièces morales, instructives et amusantes en françois et en allemand pour l’usage des amateurs des deux langues. On y a joint l’Histoire de la pucelle d’Orléans, tirée de l’Histoire de France de Velly. Par M. Junker, de l’Académie des belles-lettres de Gôttingue & professeur de la langue allemande à Paris
72.8	Les refus, par M.D. B.
73.1	L’aventurier chinois
73.10	Le porte-feuille amusant ou nouvelles variétés littéraires par l’auteur de l’Élève de la nature	BEAURIEU, Gaspard Guillard de
73.11	Les heureux malheurs ou Adélaïde de Wolver, par M. B***	BERNARD, Pierre-Joseph, dit Gentil-Bernard
73.13	Guillaume, en dix chants, par M. Bitaubé de l’Académie royale des sciences et belles-lettres de Berlin	BITAUBÉ, Paul-Jérémie
73.15	La comète, conte en l’air	BRICAIRE DE LA DIXMERIE, Nicolas
73.16	Toni et Clairette, par M. de La Dixmerie	BRICAIRE DE LA DIXMERIE, Nicolas
73.17	Sennemours et Rosalie de Civraye, histoire françoise	BRUIX, de (de Bayonne)
73.18	Le triomphe de l’amour sur les mœurs de ce siècle ou lettres du marquis de Murcin au commandeur de Saint-Brice	CARMONTELLE, Louis Carrogis, dit
73.19	Le palais de la frivolité par M. Compan	COMPAN, Charles, abbé
73.21	Le carnaval des auteurs ou les masques reconnus et punis par M. Gilbert	GILBERT, Nicolas-Joseph-Laurent
73.22	La Pariseïde ou Paris dans les Gaules	GODARD D’AUCOUR, Claude
73.24	Recueil d’anecdotes par Mde de Laisse, épouse d’un capitaine de cavalerie au régiment d’Artois	LAISSE, madame de
73.25	Lettres à myladi *** et autres œuvres mêlées tant en prose qu’en vers par M. de La Place	LA PLACE, Pierre-Antoine de
73.27	Tobie, poème en quatre chants, dédié à N.S.P. le pape Clément XIV, par M. Le Clerc	LECLERC, Louis-Claude
73.3	Les orphelins de Perse, histoire orientale, tirée d’un manuscrit persan & enrichie de notes curieuses & instructives
73.31	La femme dans les trois états de fille, d’épouse et de mère, histoire morale, comique & véritable	RÉTIF DE LA BRETONNE, Nicolas-Edme
73.32	Le ménage parisien ou Déliée et Sotentout	RÉTIF DE LA BRETONNE, Nicolas-Edme
73.33	Vénus dans la vallée de Tempé	TSCHUDI, Jean-Baptiste-Louis-Théodore, baron de
73.34	Berthold, prince de Moravie, anecdote historique par M. d’Ussieux	USSIEUX, Louis d’
73.35	Clémence d’Entragucs ou le siège d’Aubigny, anecdote française par M. d’Ussieux	USSIEUX, Louis d’
73.36	Elizène, anecdote ottomane, par M. d’Ussieux	USSIEUX, Louis d’
73.4	Roman philosophique ou traité de morale moderne
73.5	Rosalie ou la vocation forcée, mémoires de la comtesse d’Hes***
73.6	Les soirées de Paphos
73.7	Vie et aventures de Pierre Pinson, dit le chevalier
73.8	La voix de la nature ou mémoires de Rose et de Sainval *
73.9	Zénothémis, anecdote marseilloise par M. d’Arnaud	ARNAUD, François-Thomas-Marie de Baculard d’
74.10	Suite des Epreuves du sentiment, tome troisième, seconde anecdote, Bazile	ARNAUD, François-Thomas-Marie de Baculard d’
74.11	Suite des Nouvelles historiques, M. d’Arnaud (sic), tome premier, seconde nouvelle, Varbeck	ARNAUD, François-Thomas-Marie de Baculard d’
74.12	La gazette de Cythère ou aventures galantes et récentes arrivées dans les principales villes de l’Europe, traduite de l’anglais, à la fin de laquelle on a joint le Précis historique de la vie de Mad. la comtesse du Barry	BERNARD, François
74.14	Les conversations d’Emilie	EPINAY, Louise-Florence-Pétronille Tardieu d’Esclavelles, marquise d’
74.15	Le comte de Valmont ou les égarements de la raison, lettres recueillies et publiées par M......	GÉRARD, Philippe-Louis
74.17	Les amans vertueux ou lettres d’une jeune dame écrites de la campagne à son amie à Londres, ouvrage traduit de l’anglois	HELAINE, abbé
74.18	Nouveaux contes moraux par Mde de Laisse, épouse d’un capitaine de cavalerie au régiment d’Artois, dédiés à Me la comtesse d’Artois	LAISSE, madame de
74.19	La constance inimitable ou les amours de Lindor et d’Ana-créonte, conte moral imité de M. Marmontel par Mr J.P.M. Cl***	LECLERC, J.-P.-M.
74.2	Lejeune philosophe ou lettres amoureuses de Florival et de * Sophie
74.20	La nouvelle Clémentine ou lettres de Henriette de Berville, par M. Léonard	LÉONARD, Nicolas-Germain
74.21	Contes moraux par Mde Le Prince de Beaumont	LEPRINCE DE BEAUMONT, madame Marie
74.27	Les nouveaux mémoires d’un homme-de-qualité, par M. le M ... de Br...	RÉTIF DE LA BRETONNE, Nicolas-Edme
74.29	Le Décaméron françois, par M. d’Ussieux, tome second	USSIEUX, Louis d’
74.3	La nouvelle Thérèse ou la protestante philosophe, histoire sérieuse et galante
74.30	Jean sans peur, nouvelle française par M. d’Ussieux	USSIEUX, Louis d’
74.31	Raymond et Mariane, nouvelle portugaise, par M. d’Ussicux	USSIEUX, Louis d’
74.32	Roger et Victor de Sabran, nouvelle française, par M. d’Ussieux	USSIEUX, Louis d’
74.33	Le taureau blanc, traduit du syriaque par dom Calmet	VOLTAIRE, François-Marie Arouet de
74.4	La restitution, anecdote
74.5	Le Télémaque françois ou aventures d’un jeune provincial à la foire Saint Ovide
74.6	Le triomphe de la vertu par M. D’....
74.7	Dona Elmira ou la fidélité à l’épreuve, histoire traduite de l’espagnol par M. d’Arnaud, enrichie de figures en taille-douce	ARNAUD, François-Thomas-Marie de Baculard d’
74.8	Nouvelles historiques par M. d’Arnaud	ARNAUD, François-Thomas-Marie de Baculard d’
74.9	Nouvelles historiques par M. d’Arnaud, tome premier	ARNAUD, François-Thomas-Marie de Baculard d’
75.1	Les amours malheureux d’un Vendéen
75.10	Zabhet ou les heureux effets de la bienfaisance, par madame de H.***
75.11	Les confidences d’une jolie femme	ALBERT, mademoiselle d’
75.13	Suite des Epreuves du sentiment par M. d’Arnaud, tome troisième, troisième anecdote, Lorezzo	ARNAUD, François-Thomas-Marie de Baculard d’
75.14	Suite des Epreuves du sentiment par M. d’Arnaud, tome troisième, quatrième anecdote, Liebman	ARNAUD, François-Thomas-Marie de Baculard d’
75.15	Suite des Epreuves du sentiment par M. d’Arnaud, tome troisième, cinquième anecdote, Rosalie	ARNAUD, François-Thomas-Marie de Baculard d’
75.16	Suite des Epreuves du sentiment par M. d’Arnaud, tome quatrième, première anecdote, Ermance	ARNAUD, François-Thomas-Marie de Baculard d’
75.18	La fille philosophe, conte moral par Fulgence Bédigis	BÉDIGIS, François-Nicolas
75.19	Les suites d’un moment d’erreur ou lettres de mademoiselle de Keresmont, publiées par madame de ***	BOISGIRON, madame de
75.1bis	L’amour vainqueur du vice ou lettres du marquis de Cousanges
75.20	Frédégonde et Brunehaut. roman historique par M. Monvel	BOUTET DE MONVEL, Jacques-Marie
75.22	Tubières-Grimoard de Pestels de Levis, comte de Tout vient à point [à] qui peut attendre ou Cadichon, suivi de Jeannette ou l’indiscrétion, contes par feu le comte de Caylus, pour servir de supplément aux contes de fées de madame d’Aulnoy, avec une préface de l’auteur	CAYLUS, Anne-Gaude-Philippe de
75.25	Colette ou la vertu couronnée par l’amour, conte moral, par M. Compan	COMPAN, Charles, abbé
75.27	Le sacre de Numa ou Egérie, histoire trouvée dans les ruines d’Ilerculanuin	DELISLE DE SALES, Jean-Baptiste-Claude Izouard, dit
75.28	Zély ou la difficulté d’être heureux, roman indien, suivi de Zima et des Amours de Victorine et de Philogène, publiés par A.M. Dantu	FOURQUEUX, madame de	VOISENON, Claude-Henri de Fusée, abbé de
75.3	Le comte d’Umby, anecdote historique Londres & Paris, rue Saint-Jean-de-Beauvais, la première porte cochère au-dessus du Collège
75.30	Le philosophe sans prétention ou l’homme rare, ouvrage physique, chymique, politique et moral, dédié aux savans par M. D.L.F.	LA FOLIE, C.-L. de
75.31	Ouvrage sans titre. Minerve le donnera, par Mde de Laisse, auteur des Nouveaux contes moraux dédiés à la Reine	LAISSE, madame de
75.32	Œuvres mêlées de madame Le Prince de Beaumont, extraites des journaux & feuilles périodiques qui ont paru en Angleterre pendant le séjour qu’elle y a fait, rassemblées et imprimées pour la première fois en forme de recueil pour servir de suite à ses autres ouvrages Maestricht, J.E. Dufour et Phil.	LEPRINCE DE BEAUMONT, madame Marie
75.36	Célidc ou histoire de la marquise de Bliville par mademoiselle M»***	MOTTE, mademoiselle
75.37	Andréa de Félicia ou mes fredaines, omé de figures en taille-douce	NERCIAT, André-Robert Andréa de
75.38	Les astuces de Paris, anecdotes parisiennes dans lesquelles on voit les ruses que les intrigans et certaines jolies femmes mettent communément en usage pour tromper les gens simples et les étrangers, par M. N***	NOUGARET, Pierre-Jean-Baptiste
75.40	Nouvelles françaises par M. d’Ussieux	USSIEUX, Louis d’
75.41	Françoise de Foix, comtesse de Chateaubriand, nouvelle française par M. d’Ussieux	USSIEUX, Louis d’
75.42	Thélaire, nouvelle mexiquaine par M. d’Ussieux	USSIEUX, Louis d’
75.43	Don Pedre, roi de Castille, tragédie, et autres pièces	VOLTAIRE, François-Marie Arouet de
75.44	Histoire de Jenni ou le sage et l’athée, par M. Sherloc, traduit par M. de La Caille	VOLTAIRE, François-Marie Arouet de
75.45	Mélanges de poésies &c., tome second	VOLTAIRE, François-Marie Arouet de
75.46	Nouveaux mélanges philosophiques, historiques, critiques, &c &c, dix-septième partie	VOLTAIRE, François-Marie Arouet de
75.5	Histoire de Flavie, comtesse de *** et ensuite duchesse de ***, nouvelle historique
75.7	Le loisir d’un jeune savant ou collection de contes ridicules t et d’histoires véritables, &c., traduites de l’allemand
76.10bis	Les momens perdus ou l’histoire d’Adélaïde, anecdote morale
76.12	Nouvelles historiques par M. d’Arnaud, tome premier, troisième nouvelle, Le sire de Créqui	ARNAUD, François-Thomas-Marie de Baculard d’
76.13	Suite des Épreuves du sentiment par M. d’Arnaud, tome quatrième, seconde anecdote, D’Almanzi	ARNAUD, François-Thomas-Marie de Baculard d’
76.14	Volsidor et Zulménic, conte pour rire, moral, si l’on veut, & philosophique en cas de besoin	BEAUHARNAIS, Fanny de
76.17	Le duc d’Arnay	CARMONTELLE, Louis Carrogis, dit
76.18	Œuvres badines et morales de M. *******	CAZOTTE, Jacques
76.2	Bibliothèque amusante ou recueil choisi de jolis romans, ancc-c dotes intéressantes & contes moraux, présentée au beau sexe
76.24	Naru, fils de Chinki, histoire cochinchinoise qui peut servir à d’autres pays et de suite à celle de Chinki, son père	DUWICQUET D’ORDRE, Louis-Alexandre, père
76.25	Contes de fées, nouvelles, &c. &c. &c., le tout dédié à la volupté par M. de V*** de G*****	GIRARDIN, René-Louis, marquis de
76.28bis	Œuvres diverses du comte Antoine Hamilton Londres et	HAMILTON, comte Antoine
76.3	La confession publique du brocanteur, aventure extraordinaire arrivée au mois de novembre 1769, sur un vaisseau parti de l’Amérique pour Saint-Malo. Elle est rapportée fidellement par M*** qui y étoit présent, suivant le manuscrit que l’on a trouvé dans ses papiers
76.30	Les égarements de l’amour ou lettres de Fanéli et de Milfort, par M. Imbert	IMBERT, Barthélemy
76.31	Nouveaux contes moraux par Mde. Le Prince de Beaumont	LEPRINCE DE BEAUMONT, madame Marie
76.32	Florello, histoire méridionale, par M. Loaisel de Tréogate, ci-devant gendarme du roi	LOAISEL DE TRÉOGATE, Joseph-Marie
76.33	Valmore, anecdote françoise, par M. Loaisel de Tréogate, gendarme du roi	LOAISEL DE TRÉOGATE, Joseph-Marie
76.34	Mémoires de mad. la baronne de St. Lys	LUCHET, Jean-Pierre-Louis de La Roche du Maine, marquis de
76.36	Jezennemours, roman-dramatique	MERCIER, Louis-Sébastien
76.37	Azor & Zimeo, conte moral, suivi de Thiamis, conte indien, par M. Milcent	MILCENT, Jean-Baptiste-Gabriel-Marie de
76.38	Les loisirs d’une jeune dame	MONBART, Marie Joséphine de Lescun de
76.39	Histoire de Zulmie Warthei, par mademoiselle M,M*	MOTTE, mademoiselle
76.41	Lettres de madame la comtesse de La Rivière à madame la baronne de Neufpont son amie, contenant les principaux événemens de sa vie, de celle de ses enfans et de quelques-uns de ses parens, avec beaucoup de nouvelles et d’anecdotes du règne de Louis XIV depuis l’année 1686 jusqu’à l’année 1712	POULAIN, mademoiselle (de Nogent-sur-Seine)
76.43	L’école des pères, par N.E. Rétif de la Bretonne 	RÉTIF DE LA BRETONNE, Nicolas-Edme
76.44	Le paysan perverti ou les dangers de la ville, histoire récente mise au jour d’après les véritables lettres des personages (sic), par N.E. Rétif de la Bretonne Imprimé à la Haie et se trouve à	RÉTIF DE LA BRETONNE, Nicolas-Edme
76.45	La quinzaine angloise à Paris ou l’art de s’y ruiner en peu de temps, ouvrage posthume du docteur Stearne (sic), traduit de l’anglois par un observateur	RUTLIDGE, James, dit Jean-Jacques Rutledge
76.46	La Vieuville de Ah! que c’est bête! par M. Timbré	SAINT-CHAMOND, marquis de
76.48	Anecdotes de la cour et du règne d’Edouard II, roi d’Angleterre, par Mde L.M.D.T. et Mde E.D.B.	TENCIN, Claudine-Alexandrine Guérin, marquise de	ELIE DE BEAUMONT, Anne-Louise Dumesnil-Molin, madame
76.49	s Faldoni et Thérèse, nouvelle française par M. d’Ussieux	USSIEUX, Louis d’
76.5	La destinée ou mémoires d’une dame de qualité, écrite par elle-même
76.50	Angélique de Limeuil, nouvelle française par M. d’Ussieux	USSIEUX, Louis d’
76.51	Les deux Sophies, nouvelle française par M. d’Ussieux	USSIEUX, Louis d’
76.52	Mémoires de monsieur de Saint-Gory, par madame la comtesse de V**«	VIOLAINE, madame la comtesse de
77.1	Eulalie ou les dernières volontés de l’amour, anecdote récente publiée par madame de V*** qui en est l’héroïne
77.10	Suite des Epreuves du sentiment par M. d’Arnaud, tome quatrième, quatrième anecdote, Makin	ARNAUD, François-Thomas-Marie de Baculard d’
77.11	Suite des Epreuves du sentiment par M. d’Arnaud, tome quatrième, cinquième anecdote, Germeuil	ARNAUD, François-Thomas-Marie de Baculard d’
77.13	Fo-ka ou les métamorphoses, conte chinois dérobé à M. de V***	BARET, Paul
77.15bis	Le Thévenon ou les journées de la montagne, par M.E. Bertrand, conseiller-privé de la cour de Pologne, membre de plusieurs Académies des sciences, &c. &c. &c.	BERTRAND, Elie
77.16	Lettres de mademoiselle de Boismiran, recueillies et publiées par madame de ***	BOISGIRON, madame de
77.2	Lettres galantes et philosophiques de deux nones publiées par un apôtre du libertinage, avec des notes
77.3	Le monialisme, histoire galante écrite par une ex-religieuse de l’abbaye où se sont passées les aventures
77.30	La confiance trahie ou lettres du chevalier de Murcy, par M. de Coteneuve	COTENEUVE, de
77.34	Origine des Grâces, par mademoiselle D“**	DIONIS, mademoiselle
77.35	Le libertin devenu vertueux ou mémoires du comte D’***	DOMAIRON, Louis
77.38	Aristide, par M. l’abbé Duval-Pyrau, conseiller de la cour de S.A.S. Monseigneur le landgrave & prince de Hesse-Hombourg & membre de plusieurs académies & sociétés littéraires	DUVAL-PYRAU, abbé
77.39	Dialogues moraux et amusants en anglois et en françois pour l’instruction de la jeunesse, par madame Fauques de Vaucluse	FALQUES, Marianne-Agnès
77.4	L’ombre errante, rêve historique qui embrasse tout ce qui s’est passé d’intéressant depuis Pharamond jusqu’à Louis XVI Dans
77.45	Lettres et contes sentimentaux de George Wanderson, publiés par Mr. le Roy de Lozembrune, membre de plusieurs académies & sociétés littéraires	LEROY DE LOZEMBRUNE, François-Claude
77.46	Les noces patriarchales, poëme en prose en cinq chants	LESUIRE, Robert-Martin
77.47	Soirées de mélancolie, par M. L***	LOAISEL DE TRÉOGATE, Joseph-Marie
77.48	Les mannequins, conte ou histoire comme l’on	LOUIS XVIII, le comte de Provence, depuis
77.5	Le passe-tems du sexe
77.50	Les Incas ou la destruction de l’empire du Pérou par M. Marmontel, historiographe de France, l’un des quarante de l’Académie françoise	MARMONTEL, Jean-François
77.51	Héliogabale et Alexandre Sévère, histoires romaines, précédées d’une explication de quelques antiquités romaines, dédiées à Monsieur frère du Roi, par M. Mayer	MAYER, Charles-Joseph de
77.52	La paysanne pervertie ou les mœurs des grandes villes, mémoires de Jeannette R***, recueillis de ses lettres & de celles des personnes qui ont eu part aux principaux évène-mens de sa vie, mis au jour par M. Nougaret	NOUGARET, Pierre-Jean-Baptiste
